src,src_name,dest,dest_name,weight
514,FOS,466,ESR2,0.7968287304043771
764,JUN,466,ESR2,0.4891926670446992
969,NCOA1,466,ESR2,0.6119230042832593
971,NCOA3,466,ESR2,0.968702933192253
1452,SRC,466,ESR2,0.9704285136424006
1514,TGFA,466,ESR2,1.220921989933898
316,CSF1R,486,FGF1,0.5387945702920357
437,EGFR,486,FGF1,0.3404554628767073
458,EPHA2,486,FGF1,0.17465747039144236
460,ERBB2,486,FGF1,0.14399782971789438
461,ERBB3,486,FGF1,0.3831086017812291
462,ERBB4,486,FGF1,0.5643823588887851
495,FGFR1,486,FGF1,0.4200102497280265
496,FGFR2,486,FGF1,0.4056073072133586
497,FGFR3,486,FGF1,0.4872234887753923
498,FGFR4,486,FGF1,0.35870881512140235
507,FLT1,486,FGF1,0.40084332108187176
508,FLT3,486,FGF1,0.7505383901530877
510,FLT4,486,FGF1,0.7574921619147061
674,IGF1R,486,FGF1,0.56833516350016
718,INSR,486,FGF1,0.3872592735414704
776,KDR,486,FGF1,0.8403209904228182
780,KIT,486,FGF1,0.7706594175348679
931,MET,486,FGF1,0.2953013259917498
988,NGFR,486,FGF1,0.6433105197114249
1023,NTRK1,486,FGF1,0.6161243603758825
1024,NTRK2,486,FGF1,0.5999634938314558
1067,PDGFRA,486,FGF1,0.5697177334533382
1068,PDGFRB,486,FGF1,0.5899501626069347
1506,TEK,486,FGF1,0.4810603801161051
316,CSF1R,490,FGF2,1.4143006504823763
437,EGFR,490,FGF2,0.9068114351170758
458,EPHA2,490,FGF2,1.0294602392784629
460,ERBB2,490,FGF2,1.1073179176698131
461,ERBB3,490,FGF2,1.0211310975253578
462,ERBB4,490,FGF2,1.0272215773351492
495,FGFR1,490,FGF2,1.1555194002265732
496,FGFR2,490,FGF2,1.627630216240262
497,FGFR3,490,FGF2,1.0868284807230035
498,FGFR4,490,FGF2,1.4347169487426676
507,FLT1,490,FGF2,1.6744522221386433
508,FLT3,490,FGF2,1.1242115573069895
510,FLT4,490,FGF2,1.1620969838385158
674,IGF1R,490,FGF2,1.5402203304615494
718,INSR,490,FGF2,1.4016528019060692
776,KDR,490,FGF2,1.0005757415667176
780,KIT,490,FGF2,1.4517095829049746
931,MET,490,FGF2,1.0895466828097902
988,NGFR,490,FGF2,1.4323983935406432
1023,NTRK1,490,FGF2,1.245852943385641
1024,NTRK2,490,FGF2,1.137656049306194
1067,PDGFRA,490,FGF2,1.5461928588803855
1068,PDGFRB,490,FGF2,1.4644192947695651
1506,TEK,490,FGF2,1.6588920944680767
316,CSF1R,491,FGF22,0.39904080114987056
437,EGFR,491,FGF22,0.22789789705226815
458,EPHA2,491,FGF22,0.18395016012170046
460,ERBB2,491,FGF22,0.12271949741989376
461,ERBB3,491,FGF22,0.2156167469918728
462,ERBB4,491,FGF22,0.5700262432917953
