src,src_name,dest,dest_name,weight
433,EFNA3,1024,NTRK2,0.5238838060681398
433,EFNA3,1067,PDGFRA,0.5869729710898052
433,EFNA3,1068,PDGFRB,0.5871278235921636
433,EFNA3,1506,TEK,0.486815361934714
434,EFNA4,316,CSF1R,0.6216490024409722
434,EFNA4,437,EGFR,0.4701947540044784
434,EFNA4,458,EPHA2,0.4797958686870212
434,EFNA4,460,ERBB2,0.3755439626052976
434,EFNA4,461,ERBB3,0.4410855640346805
434,EFNA4,462,ERBB4,0.4634427728209024
434,EFNA4,495,FGFR1,0.4724315431900322
434,EFNA4,496,FGFR2,0.5857801853999263
434,EFNA4,497,FGFR3,0.4623475595532606
434,EFNA4,498,FGFR4,0.5146101628430187
434,EFNA4,507,FLT1,0.32869483665563165
434,EFNA4,508,FLT3,0.69425045788909
434,EFNA4,510,FLT4,0.4743065210990608
434,EFNA4,674,IGF1R,0.4501237080587695
434,EFNA4,718,INSR,0.3878126249056853
434,EFNA4,776,KDR,0.6914910999941639
434,EFNA4,780,KIT,0.6896314255621595
434,EFNA4,931,MET,0.5145954788740102
434,EFNA4,988,NGFR,0.6106872972178583
434,EFNA4,1023,NTRK1,0.6275492490579685
434,EFNA4,1024,NTRK2,0.5348982939419027
434,EFNA4,1067,PDGFRA,0.6978972046985291
434,EFNA4,1068,PDGFRB,0.660820370928074
434,EFNA4,1506,TEK,0.38277043644726894
435,EFNA5,316,CSF1R,0.9296980930802724
435,EFNA5,437,EGFR,0.5311051758083826
435,EFNA5,458,EPHA2,0.7654221876524389
435,EFNA5,460,ERBB2,0.2750019791846474
435,EFNA5,461,ERBB3,0.31612762933364136
435,EFNA5,462,ERBB4,0.6004810147685931
435,EFNA5,495,FGFR1,0.436404471405937
435,EFNA5,496,FGFR2,0.7689551414766659
435,EFNA5,497,FGFR3,0.33162643826799465
435,EFNA5,498,FGFR4,0.6246768052864354
435,EFNA5,507,FLT1,0.7901155013901492
435,EFNA5,508,FLT3,0.7051762583122279
435,EFNA5,510,FLT4,0.9332396694342606
435,EFNA5,674,IGF1R,0.4002120362594724
435,EFNA5,718,INSR,0.2865603156387806
435,EFNA5,776,KDR,0.79706721395875
435,EFNA5,780,KIT,0.7923382624207684
435,EFNA5,931,MET,0.3461849611407767
435,EFNA5,988,NGFR,0.35734698974993084
435,EFNA5,1023,NTRK1,0.75677142260829
435,EFNA5,1024,NTRK2,0.4198100307025015
435,EFNA5,1067,PDGFRA,0.8823535311501474
435,EFNA5,1068,PDGFRB,0.9419918013581384
435,EFNA5,1506,TEK,0.4704359071329236
436,EGF,316,CSF1R,0.937100955688705
